rank	brandName	count	type
432	DELTA	107	СЕРАЯ_ЗОНА
433	HSB	106	СЕРАЯ_ЗОНА
434	АДВЕРС	106	СЕРАЯ_ЗОНА
435	ASIN	106	БРЕНД
436	Vendor	105	СЕРАЯ_ЗОНА
437	Motul	105	БРЕНД
438	РСП	105	СЕРАЯ_ЗОНА
439	OMBRA	105	БРЕНД
440	UFI	105	БРЕНД
441	Элемент	105	СЕРАЯ_ЗОНА
442	Ledo	105	СЕРАЯ_ЗОНА
443	УРАЛСБЫТ	104	СЕРАЯ_ЗОНА
444	Вати	104	СЕРАЯ_ЗОНА
445	JTC	104	БРЕНД
446	MEAT & DORIA	103	БРЕНД
447	GRASS	103	БРЕНД
448	ABS	103	СЕРАЯ_ЗОНА
449	ASTROHIM	103	БРЕНД
450	AKOM	102	БРЕНД
451	AKITAKA	102	СЕРАЯ_ЗОНА
452	Rexant	102	БРЕНД
453	БХЗ	101	СЕРАЯ_ЗОНА
454	HI-GEAR	101	БРЕНД
455	RAVENOL	101	БРЕНД
456	Европлюс	101	СЕРАЯ_ЗОНА
457	АТЗ	101	СЕРАЯ_ЗОНА
458	SVS	100	СЕРАЯ_ЗОНА
459	GUD	100	СЕРАЯ_ЗОНА
460	Totachi	100	БРЕНД
461	Api	100	СЕРАЯ_ЗОНА
